date,close
2021-10-12,79.589996
2021-10-13,78.949997
2021-10-14,78.330002
2021-10-15,78.330002
2021-10-18,77.150002
2021-10-19,79.489998
2021-10-20,81.07
2021-10-21,81.169998
2021-10-22,81.150002
2021-10-25,81.660004
2021-10-26,82.25
2021-10-27,81.540001
2021-10-28,86.550003
2021-10-29,88.050003
2021-11-01,87.839996
2021-11-02,89.019997
2021-11-03,88.68
2021-11-04,90.540001
2021-11-05,81.610001
2021-11-08,82.68
2021-11-09,82.720001
2021-11-10,84.010002
2021-11-11,84.019997
2021-11-12,84
2021-11-15,83.690002
2021-11-16,84.110001
2021-11-17,82.599998
2021-11-18,83.050003
2021-11-19,80.699997
2021-11-22,81.639999
2021-11-23,82.800003
2021-11-24,82.279999
2021-11-26,79.160004
2021-11-29,74.889999
2021-11-30,74.910004
2021-12-01,74.440002
2021-12-02,73.889999
2021-12-03,73.339996
2021-12-06,73.419998
2021-12-07,72.279999
2021-12-08,73.209999
2021-12-09,72.860001
2021-12-10,72.620003
2021-12-13,73.419998
2021-12-14,73.720001
2021-12-15,75.290001
2021-12-16,75.910004
2021-12-17,75.690002
2021-12-20,76.410004
2021-12-21,75.540001
2021-12-22,76.160004
2021-12-23,75.730003
2021-12-27,76.57
2021-12-28,76.809998
2021-12-29,76.949997
2021-12-30,77.139999
2021-12-31,76.639999
2022-01-03,76.870003
2022-01-04,77.010002
2022-01-05,78.879997
2022-01-06,78.830002
2022-01-07,80.300003
2022-01-10,82.370003
2022-01-11,81.669998
2022-01-12,81.199997
2022-01-13,81.32
2022-01-14,81.379997
2022-01-18,81.540001
2022-01-19,81.290001
2022-01-20,80.75
2022-01-21,79.980003
2022-01-24,78.830002
2022-01-25,79.459999
2022-01-26,79.139999
2022-01-27,80.580002
2022-01-28,80.900002
2022-01-31,81.480003
2022-02-01,81.919998
2022-02-02,82.010002
2022-02-03,79.010002
2022-02-04,78.559998
2022-02-07,77.580002
2022-02-08,76.910004
2022-02-09,76.529999
2022-02-10,76.559998
2022-02-11,76.639999
2022-02-14,76.470001
2022-02-15,77.809998
2022-02-16,77.220001
2022-02-17,76.360001
2022-02-18,76.370003
2022-02-22,75.949997
2022-02-23,75.839996
2022-02-24,73.510002
2022-02-25,76.32
2022-02-28,76.580002
2022-03-01,76.339996
2022-03-02,76.669998
2022-03-03,77.150002
2022-03-04,77.830002
2022-03-07,77.730003
2022-03-08,76.949997
2022-03-09,77.790001
2022-03-10,77.889999
2022-03-11,78.260002
2022-03-14,77.779999
2022-03-15,78.639999
2022-03-16,78.120003
2022-03-17,78.940002
2022-03-18,79.110001
2022-03-21,79.059998
2022-03-22,79.300003
2022-03-23,79.730003
2022-03-24,80.410004
2022-03-25,81.339996
2022-03-28,81.209999
2022-03-29,81.57
2022-03-30,82.400002
2022-03-31,82.050003
2022-04-01,83.519997
2022-04-04,83.489998
2022-04-05,83.720001
2022-04-06,84.970001
2022-04-07,86.800003
2022-04-08,87.68
2022-04-11,86.629997
2022-04-12,85.629997
2022-04-13,86.129997
2022-04-14,86.910004
2022-04-18,86.07
2022-04-19,85.790001
2022-04-20,86.459999
2022-04-21,86.230003
2022-04-22,84.589996
2022-04-25,85.440002
2022-04-26,84.480003
2022-04-27,84.410004
2022-04-28,88.580002
2022-04-29,88.690002
2022-05-02,87.650002
2022-05-03,87.099998
2022-05-04,88.519997
2022-05-05,88.010002
2022-05-06,88.389999
2022-05-09,87.639999
2022-05-10,87.809998
2022-05-11,89.190002
2022-05-12,90.830002
2022-05-13,90.410004
2022-05-16,92.32
2022-05-17,93
2022-05-18,92.099998
2022-05-19,92.089996
2022-05-20,93.550003
2022-05-23,93.830002
2022-05-24,94.639999
2022-05-25,93.75
2022-05-26,92.309998
2022-05-27,93.080002
2022-05-31,92.029999
2022-06-01,91.139999
2022-06-02,90
2022-06-03,89.910004
2022-06-06,89.839996
2022-06-07,90.480003
2022-06-08,89.480003
2022-06-09,88
2022-06-10,87.18
2022-06-13,85
2022-06-14,84.5
